Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Sex,Stemheight,Stemdiameter,Petiole,Petiolewid,Segments,Lencenseg,Widcenseg,Nonsplit,Lenlatseg,Widlatseg,Nonsplitlat,Rachlen,Proxraclen,Proxracwid,Fruitlen,Fruitdiam,Ocreas,Hastula,Centseg,Joined,Scales,Indume,Inflor,Bracts,Rachil,Pedicel,Tubular,Filament,Pediform,Frcolor
Rhapis,excelsa,,excelsa,LE,LX-VN,3656,Vietnam,20.47,20.78,106.59,106.98,,sterile,,,27.5,2.3,6,25.3,3,3.5,23.5,1.3,1.7,,,,,,,,,,,,,,,,,,,
Rhapis,excelsa,,excelsa,HN,LX-VN,3720,Vietnam,20.44,20.73,107.03,107.05,,staminate,,,,,,37.5,4.1,,35,3.2,,,12,1.1,,,3,0,1,1,0,1,,0,1,1,1,0,,
Rhapis,excelsa,,excelsa,NY,D. Harder,4132,Vietnam,21.4,21.66,106.2,106.33,110,staminate,,,63,4,8,,4.7,5.3,,,,24,10.5,0.8,,,3,0,1,1,0,1,,0,1,1,1,0,,
Rhapis,excelsa,,excelsa,HNU,Phan Ke Loc,4358,Vietnam,21.2,21.33,105.4,105.66,,staminate,,,50,3.5,10,23.5,3.2,,22,2.7,,,8.5,0.8,,,,,1,1,0,1,,0,1,1,1,0,,
Rhapis,excelsa,,excelsa,NY,Ip Yuk Shing,813,China,18.3,18.51,109.36,109.61,,pistillate,,,26.7,3.1,,27.3,2.4,1.5,,,,,,,,,3,,1,1,0,1,,0,,1,,,1,
Rhapis,excelsa,,excelsa,IBSC,Li Zhe Xian,1300,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,excelsa,,excelsa,A,"Lei, C. I.",1490,China,,,,,,pistillate,,,,4.4,,,,,,,,,,,,,3,0,1,1,0,1,,,,,,,1,
Rhapis,excelsa,,excelsa,AAU,Teng,2821,China,,,,,,staminate,,,33,3.7,,29,3.5,7.8,,,,,9.2,,,,,0,1,1,0,1,,,,,,,,
Rhapis,excelsa,,excelsa,IBSC,Li Zhe Xian,4137,China,19.04,19.06,109.08,109.13,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,excelsa,,excelsa,MO,Deng Liang,5427,China,24.2,24.33,116.42,116.7,800,pistillate,,,,,11,26.5,2.6,4,21.7,2.6,,,,,,,3,0,1,1,0,1,,,,1,,,1,
Rhapis,excelsa,,excelsa,IBSC,Xin Fuwu,6449,China,18.5,18.83,110.17,110.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,excelsa,,excelsa,IBSC,Shi Guo Liang,12277,China,23.09,23.15,112.33,112.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,excelsa,,excelsa,IBSC,Huang Shu Mei,190542,China,24.59,24.98,117.32,117.53,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,excelsa,,excelsa,MO,,201559,China,23.46,23.76,116.1,116.16,450,staminate,,,16.5,2.7,,26.5,2,,,,,,,,,,,,1,1,0,1,,0,1,1,1,0,,
Rhapis,gracilis,,gracilis,NY,Y. Tsiang,2751,China,22.21,22.35,110.55,110.93,900,pistillate,,,12.5,1.3,2,13.8,3,0.2,14,1.7,0.2,3.7,2.6,0.5,,,0,0,0,0,0,1,1,0,0,1,0,,0,
Rhapis,gracilis,,gracilis,IBSC,Zhong Yi,4493,China,19.15,19.25,110.25,110.41,200,sterile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,gracilis,,gracilis,IBSC,S. Sin,5338,China,22.56,22.93,112.02,112.03,180,pistillate,,,10.5,2,4,16.5,2.5,,17,2.4,,,,,8.2,8.2,,,0,0,0,1,,0,,,,,,
Rhapis,gracilis,,gracilis,IBSC,S. K. Lau,28071,China,18.37,18.61,109.42,109.7,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
